id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
73,[U:1:34044692],Assassin+,171,73,116,51764,4,5,80.00,391.10,2023-07-24
74,[U:1:456016415],sunflower,34,15,18,8686,1,1,100.00,399.17,2023-07-24
75,[U:1:131957877],zambz,35,21,27,9828,0,1,0.00,263.77,2023-07-24
76,[U:1:163231154],keicam,27,15,21,10251,1,1,100.00,357.41,2023-07-24
77,[U:1:136305209],Buud,13,12,20,5855,0,1,0.00,339.38,2023-07-24
78,[U:1:1045325347],Mase,23,18,31,8213,1,2,50.00,340.90,2023-07-24
79,[U:1:106022087],Faisal,19,11,16,6703,0,1,0.00,409.25,2023-07-24
80,[U:1:143474481],ruadhr1,28,12,23,8771,1,1,100.00,336.83,2023-07-24
81,[U:1:298221737],laiky,31,14,23,8499,1,1,100.00,356.32,2023-07-24
82,[U:1:341978248],Switch,12,5,14,4054,0,1,0.00,251.66,2023-07-24
83,[U:1:107815702],Kunonai,34,8,25,8667,0,1,0.00,359.32,2023-07-24
84,[U:1:10247471],HartzFartz,7,4,14,3130,0,1,0.00,548.57,2023-07-24
85,[U:1:34394789],Liko,11,3,8,3186,1,1,100.00,912.71,2023-07-24
