id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
176,[U:1:55128465],~Solar,10,8,30,5533,1,2,50.00,162.02
177,[U:1:13955615],Mimo,23,19,23,9263,0,1,0.00,341.39
178,[U:1:855006242],N3lly,241,128,241,79206,6,13,46.15,263.11
179,[U:1:105630318],piquu,178,87,66,51557,3,6,50.00,345.13
180,[U:1:203078724],lunaire,18,5,24,4819,1,1,100.00,216.42
181,[U:1:3245096],barkje,37,30,64,13958,0,3,0.00,202.49
182,[U:1:76256537],Balen,169,95,243,58548,5,14,35.71,213.45
183,[U:1:121293941],toco,194,94,103,56896,6,9,66.67,323.33
184,[U:1:248853188],broken,71,26,54,18340,2,2,100.00,345.71
185,[U:1:3287106],chooper,43,21,51,13425,0,2,0.00,284.53
186,[U:1:117913556],csiga,275,134,151,97133,5,11,45.45,384.08
187,[U:1:128996054],Mads,20,21,38,10663,2,2,100.00,215.70
188,[U:1:121376521],Superiumentarius,149,125,136,53944,4,11,36.36,234.30
189,[U:1:48284703],jyrkas,891,283,712,247228,12,33,36.36,342.99
190,[U:1:477787496],stick,130,29,96,31287,2,4,50.00,288.45
191,[U:1:359550253],humphrey,20,9,7,5018,1,1,100.00,323.05
192,[U:1:66109902],Bob D,140,72,85,42405,2,6,33.33,285.81
193,[U:1:81419312],Fridge :],68,37,58,19736,1,3,33.33,280.81
194,[U:1:143626373],Pendulum,70,43,133,27409,5,6,83.33,208.43
195,[U:1:68711672],gedu,81,69,94,32603,1,4,25.00,292.23
196,[U:1:302915470],lolevont,233,122,154,71162,5,13,38.46,270.49
197,[U:1:201937938],Rawlop,622,317,363,184305,15,27,55.56,322.86
198,[U:1:199128143],red,24,20,21,8284,1,1,100.00,266.22
199,[U:1:91333396],Morgan,35,17,28,12233,2,2,100.00,325.20
200,[U:1:174221078],Roquet,304,149,365,95501,6,17,35.29,242.45
201,[U:1:91826290],roboprod,21,7,22,7305,1,1,100.00,433.53
202,[U:1:122797277],pijuka,143,74,109,42714,5,7,71.43,251.41
203,[U:1:142196848],hawk,99,41,70,26885,0,4,0.00,312.31
204,[U:1:474473138],s0rce,3,3,8,1308,0,1,0.00,89.18
205,[U:1:44306791],kitten,68,14,44,15978,2,3,66.67,304.54
206,[U:1:226414682],Vexo,13,11,15,4876,1,1,100.00,232.74
207,[U:1:169469399],Cloverleaf,85,52,86,27458,2,5,40.00,231.36
208,[U:1:17178323],BeaVerN,232,91,179,66670,3,7,42.86,360.48
209,[U:1:90123648],Princess Luna,54,28,60,17176,3,3,100.00,285.24
210,[U:1:201323649],Alabamo,92,36,88,31355,2,4,50.00,286.39
211,[U:1:153797806],poy,74,36,56,19720,4,6,66.67,284.83
212,[U:1:254583159],vekk,127,64,105,33632,1,5,20.00,289.52
213,[U:1:220096031],alicee,17,8,16,4249,1,1,100.00,180.17
214,[U:1:191706095],-RAMBO-,12,5,19,4012,1,1,100.00,200.27
215,[U:1:114891832],Nintails,47,34,34,17477,0,2,0.00,327.90
216,[U:1:36202949],HbiVnm,109,58,99,36940,2,5,40.00,348.00
217,[U:1:383781631],Mikke,346,184,386,109417,10,19,52.63,255.82
218,[U:1:381988004],yoot,42,20,19,10354,2,3,66.67,300.70
219,[U:1:311671222],skrimus,162,70,86,46556,5,6,83.33,369.49
220,[U:1:106547360],inso,6,0,5,1312,0,1,0.00,60.37
221,[U:1:1035486104],FIshin1,59,56,129,28965,5,6,83.33,198.89
222,[U:1:203000791],Sizzle,62,33,49,22282,1,2,50.00,373.65
223,[U:1:1013127103],N,20,13,14,7217,1,1,100.00,396.54
224,[U:1:100817208],Raipe,7,3,19,3461,0,1,0.00,217.90
225,[U:1:27425541],Nady,13,4,24,5839,0,1,0.00,218.42
226,[U:1:79318106],Dwapking,32,20,30,10636,1,2,50.00,264.91
227,[U:1:1241493147],mov,9,7,7,3066,1,1,100.00,168.77
228,[U:1:147748549],noah,76,37,51,23084,0,3,0.00,333.50
229,[U:1:83687775],Anzu,89,46,64,28549,2,5,40.00,278.07
230,[U:1:159058380],hondjo,140,62,87,44106,3,6,50.00,333.08
231,[U:1:402584688],BIBOUZ,9,12,17,3714,0,1,0.00,204.25
232,[U:1:103618507],Matek,43,23,21,9961,1,1,100.00,339.97
233,[U:1:91615533],Not Steven,74,38,85,25243,3,4,75.00,315.27
234,[U:1:1100515718],CacTus,28,17,71,11240,2,4,50.00,164.65
235,[U:1:1243916125],Terry,20,12,33,6862,1,1,100.00,245.22
236,[U:1:298451818],Morbus,19,21,15,6821,1,1,100.00,356.19
237,[U:1:371064049],Rapy,38,19,34,11693,1,2,50.00,312.09
238,[U:1:282568804],kraze,79,45,56,26096,1,4,25.00,291.79
239,[U:1:322269797],deere,75,37,43,22857,3,3,100.00,363.87
