id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
156,[U:1:128996054],Mads,16,0,18,5877,0,1,0.00,252.77
157,[U:1:121376521],Superiumentarius,30,8,38,11398,1,2,50.00,239.79
158,[U:1:48284703],jyrkas,829,131,619,292034,15,37,40.54,367.08
159,[U:1:477787496],stick,36,12,45,12299,2,3,66.67,242.82
160,[U:1:139131191],Flashy,23,2,17,6200,1,1,100.00,205.98
161,[U:1:1160906215],ZOOM,47,5,34,14697,1,3,33.33,297.91
162,[U:1:302915470],lolevont,33,10,15,11395,1,1,100.00,392.25
163,[U:1:201937938],Rawlop,270,35,218,84827,4,12,33.33,320.44
164,[U:1:141731900],proky,116,17,98,40028,3,7,42.86,288.28
165,[U:1:111310298],Furiosa,57,3,59,19254,1,3,33.33,281.29
166,[U:1:91826290],roboprod,19,3,19,7032,1,1,100.00,306.63
167,[U:1:142196848],hawk,41,10,43,14389,1,2,50.00,342.05
168,[U:1:474473138],s0rce,2,1,13,1917,0,1,0.00,130.41
169,[U:1:44306791],kitten,26,5,25,9191,1,1,100.00,275.59
170,[U:1:226414682],Vexo,159,25,135,52296,4,6,66.67,298.61
171,[U:1:17178323],BeaVerN,162,23,199,53926,2,9,22.22,256.16
172,[U:1:153797806],poy,1,0,0,150,0,1,0.00,360.00
173,[U:1:254583159],vekk,30,4,35,8795,1,1,100.00,252.85
174,[U:1:77544363],fnzkie,2020,314,1197,715110,38,75,50.67,422.44
175,[U:1:256668247],Xi,733,101,709,264275,20,41,48.78,292.18
176,[U:1:84833764],blondie,10,2,31,3640,0,1,0.00,117.80
177,[U:1:114891832],Nintails,29,5,20,8216,1,1,100.00,266.32
178,[U:1:483770846],cosmetical,592,89,419,210232,16,28,57.14,346.39
179,[U:1:36202949],HbiVnm,36,12,33,10230,2,2,100.00,252.49
180,[U:1:383781631],Mikke,14,5,23,6323,1,1,100.00,245.87
181,[U:1:311671222],skrimus,395,57,233,134371,9,15,60.00,433.97
182,[U:1:203000791],Sizzle,154,26,110,56962,3,6,50.00,461.23
183,[U:1:1013127103],N,367,37,333,120886,8,17,47.06,295.75
184,[U:1:190113798],D-Kay,13,2,17,5799,0,1,0.00,364.72
185,[U:1:33929218],sub,146,18,116,50775,3,6,50.00,394.88
186,[U:1:27425541],Nady,16,5,11,4803,1,1,100.00,290.21
187,[U:1:123239303],flick,15,3,23,4744,0,1,0.00,217.28
188,[U:1:147748549],noah,26,10,32,10032,1,3,33.33,230.27
189,[U:1:405860591],Wellan,16,2,28,4484,1,2,50.00,132.47
190,[U:1:83687775],Anzu,22,2,25,7001,1,1,100.00,227.80
191,[U:1:91615533],Not Steven,18,8,29,8143,1,1,100.00,272.04
192,[U:1:298451818],Morbus,39,5,34,14182,2,3,66.67,296.59
193,[U:1:371064049],Rapy,127,21,103,41182,2,4,50.00,339.46
194,[U:1:78206317],matzi,322,62,185,117329,7,16,43.75,396.40
195,[U:1:100740038],Mondi,14,2,24,4452,0,1,0.00,232.48
196,[U:1:37749043],Leojan,46,12,72,16993,2,3,66.67,243.34
197,[U:1:322269797],deere,111,21,97,37337,3,6,50.00,274.81
198,[U:1:96664776],danny,62,13,50,24902,3,3,100.00,346.18
199,[U:1:356089781],chachiply,22,4,22,7578,1,1,100.00,274.90
200,[U:1:114651287],scrlly,34,5,37,12695,1,2,50.00,286.68
201,[U:1:155328866],Big Papa MattJ,21,3,26,5451,1,1,100.00,155.00
202,[U:1:96111893],Rebel,55,7,34,18447,1,2,50.00,397.71
203,[U:1:266317908],spawncamper.,580,78,399,173519,16,26,61.54,305.46
204,[U:1:363146125],Frager,22,5,22,7161,1,1,100.00,270.74
205,[U:1:933649916],wicc,260,30,179,83661,7,10,70.00,385.77
206,[U:1:180342878],nubbi,166,26,111,48868,4,7,57.14,363.38
207,[U:1:117426236],Teddi,34,2,48,11474,0,3,0.00,198.34
208,[U:1:224615527],skai,429,63,598,151157,12,32,37.50,231.32
209,[U:1:42724440],senko,43,9,34,16880,1,2,50.00,364.45
210,[U:1:208887937],shinso,92,13,75,30813,2,4,50.00,307.11
211,[U:1:99621532],mezzo,38,12,25,11997,1,2,50.00,315.71
212,[U:1:40714804],qBowN∼,158,28,169,55655,2,9,22.22,293.56
213,[U:1:458357023],minty,496,55,340,165130,8,19,42.11,391.97
214,[U:1:410063738],Sivik,12,4,16,4713,0,1,0.00,289.73
215,[U:1:89081402],juju,33,11,40,11703,1,2,50.00,268.73
216,[U:1:365139362],vlad9,40,4,38,12342,1,2,50.00,305.75
217,[U:1:169048576],Kumis,74,19,61,29154,2,3,66.67,437.09
218,[U:1:147767869],moikill231,192,25,136,66497,4,9,44.44,348.64
219,[U:1:115334142],Thaigrr,27,2,18,7318,1,1,100.00,276.85
220,[U:1:357111431],FERRARI.PEEK,596,64,437,189079,14,21,66.67,365.35
221,[U:1:114633416],denkra,87,15,88,31060,2,5,40.00,270.13
222,[U:1:96991250],brdY.,41,3,21,12220,0,1,0.00,369.93
223,[U:1:95763546],Miju,53,12,39,15627,2,2,100.00,306.91
224,[U:1:290899682],rise,22,8,16,8579,0,1,0.00,355.98
225,[U:1:71713376],Ignis,41,4,27,11662,2,2,100.00,291.91
226,[U:1:481881588],godseeker,27,3,26,8555,0,1,0.00,255.50
227,[U:1:210154445],barni,0,0,1,591,1,2,50.00,212.34
228,[U:1:45528883],Boob Lee,33,4,12,7644,0,1,0.00,351.18
229,[U:1:336145564],Copper,12,4,11,4261,1,1,100.00,270.83
230,[U:1:1057941942],Ra1n,48,10,89,17368,3,6,50.00,157.08
231,[U:1:36137617],skosgo,14,7,16,5300,0,1,0.00,301.71
232,[U:1:100229218],hu tao,30,3,17,9285,0,1,0.00,407.53
233,[U:1:89356918],tenshi.,24,3,18,6838,0,1,0.00,268.68
234,[U:1:124205952],kefju,20,2,28,8406,0,1,0.00,307.54
235,[U:1:70120143],bitebo,21,4,14,6441,0,1,0.00,311.66
236,[U:1:81961521],vuggie,56,16,66,21547,2,3,66.67,276.84
237,[U:1:64694636],MOFU,98,8,140,31800,2,5,40.00,241.52
238,[U:1:382304800],Jared,10,3,17,4311,0,1,0.00,249.43
239,[U:1:96547203],G7,277,45,225,98461,9,13,69.23,338.63
240,[U:1:328592166],Doge,13,3,21,5617,0,1,0.00,308.06
241,[U:1:98361494],Hampe,787,108,612,273995,19,33,57.58,351.76
242,[U:1:103277184],Mujet,30,7,13,11046,0,1,0.00,522.27
