id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
85,[U:1:84055738],Dejvi,102,24,201,38434,4,9,44.44,215.32
86,[U:1:162973073],wiitabix,2007,278,1727,659914,48,97,49.48,291.43
87,[U:1:60508241],CoCoBaer,523,82,687,202060,16,33,48.48,270.17
88,[U:1:437627128],Dosik,5,2,16,2129,0,1,0.00,132.51
89,[U:1:100967616],$neaky,1987,350,1933,694024,50,86,58.14,359.21
90,[U:1:173395134],ollie,32,15,26,11483,2,2,100.00,259.60
91,[U:1:82123920],Straus,12,0,6,4995,1,1,100.00,346.47
92,[U:1:422224000],Lewdio,20,1,32,8974,0,1,0.00,348.28
93,[U:1:42954103],rainy,21,0,29,7880,0,1,0.00,324.95
94,[U:1:248256384],ALOV69,48,11,73,14467,1,3,33.33,215.07
95,[U:1:169751607],lit.fam,66,5,89,24876,2,3,66.67,314.69
96,[U:1:487784807],Houf,390,39,553,147641,15,26,57.69,258.08
97,[U:1:237340554],Akio,5983,619,5535,2287182,154,294,52.38,354.20
98,[U:1:84941035],Norbi,9,0,17,3974,1,1,100.00,270.03
99,[U:1:75226449],Raelyn,18,2,9,6350,1,1,100.00,379.86
100,[U:1:313093032],kirisame,7,2,16,2753,1,1,100.00,156.72
101,[U:1:364546186],Pawel,74,2,124,31525,2,6,33.33,282.74
102,[U:1:31964550],Tercio,8,6,12,4364,1,1,100.00,203.45
103,[U:1:10247471],HartzFartz,66,17,99,23598,4,6,66.67,210.29
104,[U:1:117490478],Brian,125,21,159,47536,4,7,57.14,271.63
105,[U:1:1191805576],Lighter,12,3,15,4685,0,1,0.00,275.59
106,[U:1:910020345],frostu,560,42,678,222896,15,35,42.86,308.96
107,[U:1:186812575],Un4given,341,56,390,125719,7,18,38.89,315.48
108,[U:1:1045325347],Mase,3552,390,3575,1376380,119,203,58.62,300.92
109,[U:1:170162153],Gaul Soodman,82,7,92,30105,1,7,14.29,198.76
110,[U:1:97252216],Benaty,11,4,15,4186,1,1,100.00,192.46
111,[U:1:166329375],Weazel,12,2,16,6016,0,1,0.00,281.34
112,[U:1:456130159],Zilaz,17,0,35,7354,1,1,100.00,306.42
113,[U:1:236587882],frost,1368,132,1413,508859,33,67,49.25,327.84
114,[U:1:136305209],Buud,258,47,276,90992,8,19,42.11,251.79
115,[U:1:170965550],Yui,2641,375,2404,957410,62,112,55.36,357.77
116,[U:1:194687031],Exe_Red,29,7,32,9184,1,2,50.00,238.13
117,[U:1:74689694],tua,52,10,77,17358,3,4,75.00,208.05
118,[U:1:100358501],bluR-,15,2,18,6457,0,1,0.00,291.29
119,[U:1:242176874],tom,26,3,33,7488,0,1,0.00,240.13
120,[U:1:124532573],gtlm.,22,3,39,7274,1,2,50.00,167.22
121,[U:1:107815702],Kunonai,109,27,135,43952,4,7,57.14,290.56
122,[U:1:920460],ZakMcRofl,5,0,24,2230,0,1,0.00,92.60
123,[U:1:97095337],Lightsynth,434,36,454,163188,15,22,68.18,322.59
124,[U:1:388493689],Santaz,158,20,245,64486,5,11,45.45,262.08
125,[U:1:158246276],doug,4,0,9,565,1,2,50.00,24.76
126,[U:1:254196047],Fuzze,10,3,23,4712,0,1,0.00,223.32
127,[U:1:73190327],Cronk,43,23,66,18570,3,5,60.00,181.91
128,[U:1:39214368],Villdjack,40,13,52,16040,0,2,0.00,351.37
129,[U:1:62805912],yak,56,5,120,22247,2,7,28.57,187.95
130,[U:1:101451298],Joe,45,10,68,16603,0,2,0.00,295.34
131,[U:1:243741809],DelT,230,27,235,83691,4,10,40.00,345.43
132,[U:1:173022987],T1mmy,62,11,75,20732,3,3,100.00,314.12
133,[U:1:25305114],Silvermaster,62,8,93,24873,2,5,40.00,222.35
134,[U:1:146254698],sun,13,0,17,4494,1,1,100.00,249.21
135,[U:1:236588107],croud,7,0,12,2858,0,1,0.00,225.04
136,[U:1:79888733],Obi-Wan Kenobi,43,3,70,14753,1,3,33.33,206.48
137,[U:1:214681073],Timka,4919,598,5992,1948813,156,284,54.93,311.07
138,[U:1:367782127],cov,11,3,30,5453,0,1,0.00,199.99
139,[U:1:216095022],Husky,382,46,484,155501,10,24,41.67,291.36
140,[U:1:852019598],Egor1496,797,72,1013,316823,23,42,54.76,323.53
141,[U:1:91202912],kalid,51,7,85,20672,0,3,0.00,246.10
142,[U:1:855006242],N3lly,54,9,87,21080,2,4,50.00,219.58
143,[U:1:105630318],piquu,94,17,93,34902,3,6,50.00,262.92
144,[U:1:160502324],Tyegra,14,1,23,5333,0,1,0.00,184.00
145,[U:1:203078724],lunaire,785,75,845,297388,24,42,57.14,327.44
146,[U:1:187840976],333res,33,2,53,13405,0,2,0.00,283.40
147,[U:1:891145802],CHEH,22,1,29,7752,2,2,100.00,203.73
148,[U:1:121293941],toco,68,21,75,23660,4,4,100.00,234.68
149,[U:1:248853188],broken,194,21,203,69283,8,10,80.00,318.57
150,[U:1:3287106],chooper,1073,102,1028,385078,29,54,53.70,319.17
151,[U:1:134247264],agb,19,3,19,8094,1,1,100.00,318.66
152,[U:1:48284703],jyrkas,984,153,737,316497,19,38,50.00,358.69
153,[U:1:298818689],1007,23,2,28,6891,1,1,100.00,291.79
154,[U:1:66109902],Bob D,348,39,239,138459,8,17,47.06,366.58
155,[U:1:303005969],kasper,118,11,99,45214,2,5,40.00,388.71
156,[U:1:81419312],Fridge :],16,2,32,6108,0,2,0.00,182.06
157,[U:1:275833768],lennysos,37,1,33,13128,2,2,100.00,309.74
158,[U:1:102422414],Lecter,81,6,122,33843,2,4,50.00,341.22
159,[U:1:68711672],gedu,16,3,24,5310,1,1,100.00,179.90
160,[U:1:201937938],Rawlop,794,124,521,275701,19,35,54.29,357.96
161,[U:1:91333396],Morgan,96,14,153,33832,1,6,16.67,224.50
162,[U:1:174221078],Roquet,19,2,39,5557,0,2,0.00,146.30
163,[U:1:122797277],pijuka,9,1,10,4354,1,1,100.00,309.89
164,[U:1:44306791],kitten,33,2,36,13988,1,1,100.00,442.89
165,[U:1:169469399],Cloverleaf,23,3,44,7463,1,2,50.00,171.69
166,[U:1:153797806],poy,0,0,0,0,1,1,100.00,0.00
167,[U:1:163960886],Xue hua piao piao be,11,1,18,4585,1,1,100.00,238.59
168,[U:1:148463251],Mr.Baguette,18,0,15,7021,0,1,0.00,278.24
169,[U:1:212593637],Mr.Whale,8,1,20,3351,1,1,100.00,146.33
170,[U:1:381988004],yoot,12,0,15,4725,0,1,0.00,247.60
171,[U:1:311671222],skrimus,55,5,71,22573,2,4,50.00,259.06
172,[U:1:1013127103],N,102,8,153,39412,4,6,66.67,256.42
173,[U:1:228426907],ObiHomie,14,7,20,4456,0,1,0.00,149.45
174,[U:1:90900287],,152,19,208,53851,5,8,62.50,281.18
175,[U:1:1241493147],mov,12,1,35,4127,0,1,0.00,128.57
176,[U:1:405860591],Wellan,36,7,78,15094,3,4,75.00,177.16
177,[U:1:83687775],Anzu,13,3,18,5089,1,1,100.00,230.45
178,[U:1:159058380],hondjo,49,10,50,20069,3,3,100.00,344.14
179,[U:1:103618507],Matek,38,4,57,15268,1,2,50.00,289.44
180,[U:1:91615533],Not Steven,197,26,270,82069,8,15,53.33,290.80
181,[U:1:1100515718],CacTus,782,68,1209,341830,35,59,59.32,276.51
182,[U:1:1243916125],Terry,5,1,23,2396,0,1,0.00,103.35
183,[U:1:298451818],Morbus,114,29,145,47055,3,6,50.00,314.78
184,[U:1:282568804],kraze,121,13,131,47067,3,7,42.86,333.06
185,[U:1:880876179],nestea,12,4,20,4382,1,1,100.00,175.28
186,[U:1:278726716],MattFor,585,48,872,222462,22,40,55.00,253.40
187,[U:1:96664776],danny,301,38,279,111879,7,18,38.89,290.52
188,[U:1:439777426],figerok,34,8,50,13802,0,2,0.00,252.01
189,[U:1:315920596],pwoject dwelta,18,1,17,7024,1,1,100.00,324.43
190,[U:1:356089781],chachiply,137,3,181,51629,3,9,33.33,261.90
191,[U:1:114651287],scrlly,6,2,27,2865,0,1,0.00,134.51
192,[U:1:49161631],dqz,16,4,31,6349,0,2,0.00,179.35
193,[U:1:410157786],soaky,34,3,28,12506,0,1,0.00,380.51
194,[U:1:180342878],nubbi,189,29,166,67388,4,9,44.44,352.36
195,[U:1:219121054],greek,127,11,166,47494,4,10,40.00,208.76
196,[U:1:1013123320],Bowi,11,1,21,3352,0,1,0.00,155.07
197,[U:1:70364704],mastr,363,45,446,147812,8,20,40.00,309.31
198,[U:1:124181997],Fluffy,11,1,33,4328,0,1,0.00,144.75
199,[U:1:224615527],skai,14,1,19,5568,1,1,100.00,255.22
200,[U:1:42724440],senko,16,2,16,4355,1,1,100.00,273.04
201,[U:1:208887937],shinso,1035,109,1144,395834,24,60,40.00,297.96
202,[U:1:53342994],Nas boii,175,12,274,67184,4,13,30.77,247.90
203,[U:1:40714804],qBowN∼,104,10,110,39938,1,5,20.00,295.47
204,[U:1:458357023],minty,57,14,61,20460,2,3,66.67,340.62
205,[U:1:50240965],Khazul,95,23,98,33716,2,4,50.00,315.20
206,[U:1:166535746],buckler,210,17,357,88489,7,15,46.67,268.27
207,[U:1:454481928],Sindi,125,24,135,48414,7,8,87.50,293.74
208,[U:1:169048576],Kumis,69,13,76,26468,3,4,75.00,277.78
209,[U:1:843469634],fidus,13,1,29,5948,0,1,0.00,207.13
210,[U:1:418437804],mike,10,0,15,4868,1,1,100.00,196.82
211,[U:1:1125887520],MRZepp7,42,5,64,18024,3,3,100.00,297.84
212,[U:1:188828482],M_J_C,137,6,156,52154,6,8,75.00,280.85
