id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
138,[U:1:159183735],triple,30,7,8,6420,1,1,100.00,368.61,2023-07-24
139,[U:1:82123920],Straus,1,20,15,500,1,1,100.00,17.02,2023-07-24
140,[U:1:422224000],Lewdio,52,18,50,18748,2,3,66.67,347.51,2023-07-24
141,[U:1:1102552676],ethereal,37,8,53,12148,1,3,33.33,211.76,2023-07-24
142,[U:1:191313389],Loopy,264,68,208,80651,7,10,70.00,333.89,2023-07-24
143,[U:1:42954103],rainy,116,56,102,39897,2,5,40.00,354.22,2023-07-24
144,[U:1:248256384],ALOV69,36,12,38,15051,0,2,0.00,363.40,2023-07-24
145,[U:1:371148479],arth,42,14,29,14402,2,2,100.00,347.73,2023-07-24
146,[U:1:416877169],Raccoon,78,75,99,30155,3,7,42.86,175.63,2023-07-24
147,[U:1:1003113205],Orange,103,24,101,33214,2,4,50.00,333.59,2023-07-24
148,[U:1:374702019],Clav,52,76,64,25079,2,6,33.33,213.56,2023-07-24
149,[U:1:241073429],Highlander,123,44,124,48796,1,6,16.67,368.74,2023-07-24
150,[U:1:130179038],Thero,21,15,23,7724,2,3,66.67,203.53,2023-07-24
151,[U:1:169751607],lit.fam,157,63,172,51903,3,10,30.00,257.52,2023-07-24
152,[U:1:487784807],Houf,540,257,617,181490,15,29,51.72,261.07,2023-07-24
153,[U:1:838538117],African Communist,59,53,55,29459,5,6,83.33,231.63,2023-07-24
154,[U:1:237340554],Akio,176,16,142,64631,1,6,16.67,386.66,2023-07-24
155,[U:1:401164256],Kekopara,19,5,28,7229,2,2,100.00,210.25,2023-07-24
156,[U:1:127936248],grip,32,17,36,9465,1,2,50.00,223.23,2023-07-24
157,[U:1:84941035],Norbi,50,10,38,18890,1,3,33.33,343.45,2023-07-24
158,[U:1:75226449],Raelyn,18,2,9,6350,1,1,100.00,379.86,2023-07-24
159,[U:1:313093032],kirisame,13,12,12,4820,1,1,100.00,260.31,2023-07-24
160,[U:1:364546186],Pawel,25,3,24,7738,0,1,0.00,289.99,2023-07-24
161,[U:1:57420578],anni,62,21,34,17316,1,2,50.00,425.28,2023-07-24
162,[U:1:165144675],Xochy Pivo,33,20,44,19833,1,2,50.00,357.03,2023-07-24
163,[U:1:31964550],Tercio,89,42,120,48159,2,5,40.00,375.56,2023-07-24
164,[U:1:10247471],HartzFartz,26,13,63,12688,1,4,25.00,224.77,2023-07-24
165,[U:1:3435379],Leila,0,17,8,374,1,1,100.00,19.43,2023-07-24
166,[U:1:67582501],JoeN,14,2,10,9132,1,1,100.00,474.39,2023-07-24
167,[U:1:119182029],WilliamWanderlust,47,18,41,15070,0,2,0.00,297.43,2023-07-24
168,[U:1:141929391],morale,28,5,21,10364,0,1,0.00,397.34,2023-07-24
169,[U:1:117490478],Brian,13,4,29,6860,0,1,0.00,228.54,2023-07-24
170,[U:1:38617858],Serik,10,1,8,4676,1,1,100.00,328.52,2023-07-24
171,[U:1:168887301],.xio,7,102,56,2174,3,4,75.00,20.19,2023-07-24
172,[U:1:1191805576],Lighter,25,3,34,7634,0,1,0.00,240.31,2023-07-24
173,[U:1:910020345],frostu,131,19,147,46831,3,7,42.86,296.74,2023-07-24
174,[U:1:186812575],Un4given,25,4,20,7075,1,1,100.00,303.87,2023-07-24
175,[U:1:1045325347],Mase,293,139,291,118698,8,17,47.06,304.56,2023-07-24
176,[U:1:910498548],tendon,34,18,21,9705,1,1,100.00,424.42,2023-07-24
177,[U:1:149780902],lynn2822,28,14,23,8469,1,1,100.00,284.67,2023-07-24
178,[U:1:102629081],Demos,72,73,76,50890,5,5,100.00,365.28,2023-07-24
179,[U:1:170162153],Gaul Soodman,9,3,22,3655,0,1,0.00,146.01,2023-07-24
180,[U:1:97252216],Benaty,161,23,91,53661,2,5,40.00,405.81,2023-07-24
181,[U:1:62768585],numb,13,17,27,10965,1,1,100.00,363.08,2023-07-24
182,[U:1:166329375],Weazel,13,8,36,12082,1,1,100.00,362.28,2023-07-24
183,[U:1:456130159],Zilaz,30,3,71,13665,1,2,50.00,275.78,2023-07-24
184,[U:1:150233626],CoppyZ,16,8,27,10393,0,1,0.00,364.03,2023-07-24
185,[U:1:106711772],namba,372,168,312,178102,7,17,41.18,406.35,2023-07-24
186,[U:1:434548833],Pr1me,20,14,18,6453,1,2,50.00,164.97,2023-07-24
187,[U:1:218191733],tlm,22,2,11,6374,1,1,100.00,372.39,2023-07-24
188,[U:1:143474481],ruadhr1,60,53,80,23772,3,5,60.00,230.65,2023-07-24
189,[U:1:282134566],chocomelk,0,15,15,369,0,1,0.00,15.37,2023-07-24
190,[U:1:860852017],Erosey,18,10,15,3725,0,1,0.00,155.21,2023-07-24
191,[U:1:424423660],Guz,114,44,90,48606,3,5,60.00,360.85,2023-07-24
192,[U:1:131957877],zambz,35,21,27,9828,0,1,0.00,293.96,2023-07-24
193,[U:1:242658929],trum,2,21,20,319,1,1,100.00,9.54,2023-07-24
194,[U:1:236587882],frost,24,23,25,7473,0,1,0.00,223.52,2023-07-24
195,[U:1:136305209],Buud,34,21,44,14100,0,3,0.00,274.68,2023-07-24
196,[U:1:170965550],Yui,47,6,46,15152,2,2,100.00,308.70,2023-07-24
197,[U:1:194687031],Exe_Red,13,17,12,4641,0,1,0.00,188.79,2023-07-24
198,[U:1:74689694],tua,65,10,54,21967,2,3,66.67,297.32,2023-07-24
199,[U:1:87562923],Cyanic,32,17,37,18098,2,2,100.00,421.86,2023-07-24
200,[U:1:54226197],swir,31,30,37,11083,1,2,50.00,225.42,2023-07-24
201,[U:1:119136085],grix,16,7,18,4634,0,1,0.00,236.43,2023-07-24
202,[U:1:100358501],bluR-,60,29,45,21626,1,4,25.00,253.58,2023-07-24
203,[U:1:67231495],shappie,43,17,44,22742,2,2,100.00,442.74,2023-07-24
204,[U:1:162632057],asura,63,2,36,22293,1,2,50.00,482.01,2023-07-24
205,[U:1:346694113],deemore,28,10,22,9205,1,2,50.00,281.07,2023-07-24
206,[U:1:373857651],iusti,3,17,11,610,1,1,100.00,16.98,2023-07-24
207,[U:1:242176874],tom,161,90,148,57414,4,7,57.14,329.81,2023-07-24
208,[U:1:1247279463],Tywhip,9,28,38,4315,0,2,0.00,86.13,2023-07-24
209,[U:1:193486101],Dalibor,12,7,11,4827,1,1,100.00,204.82,2023-07-24
210,[U:1:341978248],Switch,12,5,14,4054,0,1,0.00,184.41,2023-07-24
211,[U:1:124532573],gtlm.,22,3,39,7274,1,2,50.00,167.22,2023-07-24
212,[U:1:107815702],Kunonai,132,59,102,39936,3,6,50.00,283.77,2023-07-24
213,[U:1:182286974],res,23,12,24,14387,0,1,0.00,474.82,2023-07-24
214,[U:1:142196848],hawk,23,3,16,7566,1,1,100.00,415.33,2023-07-24
215,[U:1:1243916125],Terry,5,1,23,2396,0,1,0.00,103.35,2023-07-24
