id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
155,[U:1:855006242],N3lly,264,136,350,160179,6,20,30.00,358.81
156,[U:1:105630318],piquu,144,79,142,99008,5,8,62.50,471.77
157,[U:1:94129723],Sebbo,22,6,27,9602,1,1,100.00,331.87
158,[U:1:121293941],toco,302,97,257,168188,8,18,44.44,475.33
159,[U:1:248853188],broken,36,6,56,20098,1,3,33.33,386.87
160,[U:1:242176142],ympo,38,15,15,18432,2,2,100.00,520.92
161,[U:1:202138486],mejf,46,11,33,22481,0,2,0.00,505.00
162,[U:1:163791764],Scorpion,198,58,185,91860,4,10,40.00,441.67
163,[U:1:121376521],Superiumentarius,222,114,212,125310,7,13,53.85,406.17
164,[U:1:145081941],TBourdon,249,89,128,133485,4,12,33.33,465.35
165,[U:1:477787496],stick,55,19,34,29619,2,3,66.67,510.67
166,[U:1:73996838],skyro,12,3,16,8325,1,1,100.00,346.15
167,[U:1:861133286],KEYREAL,18,10,21,8386,1,1,100.00,305.13
168,[U:1:126595855],wildpiggie,7,4,13,4395,0,1,0.00,236.93
169,[U:1:66109902],Bob D,235,89,132,110782,6,10,60.00,474.61
170,[U:1:68711672],gedu,178,74,207,95145,4,10,40.00,401.79
171,[U:1:383062580],Peams,482,199,541,299923,19,36,52.78,386.43
172,[U:1:201937938],Rawlop,64,30,73,37141,2,4,50.00,388.30
173,[U:1:91333396],Morgan,950,391,1001,524960,29,56,51.79,408.28
174,[U:1:34989139],Hildreth,12,7,14,5659,0,1,0.00,345.41
175,[U:1:474473138],s0rce,273,117,311,147445,12,19,63.16,338.66
176,[U:1:44306791],kitten,25,5,24,11217,1,1,100.00,352.00
177,[U:1:153797806],poy,294,143,252,168948,9,16,56.25,456.70
178,[U:1:189224148],Refleks,17,10,53,14990,0,2,0.00,321.56
179,[U:1:254583159],vekk,16,10,26,9899,1,1,100.00,369.83
180,[U:1:212593637],Mr.Whale,25,6,20,10807,0,1,0.00,458.25
181,[U:1:191706095],-RAMBO-,284,103,246,154886,7,15,46.67,472.12
182,[U:1:383781631],Mikke,9,3,16,4307,0,1,0.00,223.16
183,[U:1:381988004],yoot,2,3,1,1662,0,1,0.00,479.42
184,[U:1:106547360],inso,2,0,7,1652,0,1,0.00,258.80
185,[U:1:100817208],Raipe,26,13,37,13848,1,2,50.00,348.96
186,[U:1:123239303],flick,33,12,35,13708,1,2,50.00,361.37
187,[U:1:163964970],Craggles,13,12,40,11598,0,2,0.00,261.31
188,[U:1:137800204],sacha,42,23,83,32040,3,5,60.00,307.14
189,[U:1:1241493147],mov,37,12,40,18242,1,2,50.00,387.03
190,[U:1:147748549],noah,523,215,302,272542,15,27,55.56,471.59
191,[U:1:405860591],Wellan,71,29,134,40423,2,6,33.33,294.31
192,[U:1:103618507],Matek,22,7,19,11600,0,1,0.00,359.88
193,[U:1:91615533],Not Steven,168,81,187,109291,6,11,54.55,435.28
194,[U:1:1100515718],CacTus,347,180,625,215298,16,28,57.14,324.95
195,[U:1:1243916125],Terry,10,1,15,4203,1,1,100.00,239.71
196,[U:1:371064049],Rapy,8,11,13,8745,0,1,0.00,430.43
197,[U:1:100740038],Mondi,32,10,34,16893,0,2,0.00,418.49
198,[U:1:37749043],Leojan,20,8,28,12670,2,2,100.00,340.74
199,[U:1:121620824],Zamzam,121,47,108,65328,5,9,55.56,385.72
200,[U:1:96664776],danny,76,23,52,42696,1,4,25.00,515.13
201,[U:1:174480808],kris,66,48,110,50437,3,6,50.00,359.41
202,[U:1:114651287],scrlly,15,10,21,10310,1,3,33.33,394.77
203,[U:1:865652483],azzy,37,19,68,29081,1,5,20.00,292.76
204,[U:1:49161631],dqz,38,14,21,17473,1,2,50.00,441.98
205,[U:1:410157786],soaky,47,26,32,26990,1,2,50.00,528.70
206,[U:1:73989841],foungi,310,109,274,155671,9,15,60.00,500.71
207,[U:1:266317908],spawncamper.,24,4,23,15091,1,2,50.00,420.17
208,[U:1:88986847],sandblast,16,11,19,8999,0,1,0.00,374.96
209,[U:1:97208058],EASY,12,5,18,8330,0,1,0.00,422.84
210,[U:1:180342878],nubbi,92,21,59,40286,2,4,50.00,543.18
211,[U:1:117426236],Teddi,32,17,47,19945,1,2,50.00,352.80
212,[U:1:76381807],Skyfox,179,79,137,95578,4,10,40.00,394.68
213,[U:1:198951342],Kanga,80,43,78,42080,4,5,80.00,420.17
214,[U:1:2221629],Adena,19,7,32,11289,0,2,0.00,242.43
215,[U:1:127111882],NURWHAL,33,12,23,17032,1,1,100.00,503.16
216,[U:1:208887937],shinso,25,14,35,11522,1,2,50.00,297.98
217,[U:1:53342994],Nas boii,45,10,33,20438,0,1,0.00,510.31
218,[U:1:40714804],qBowN∼,15,3,13,8297,1,1,100.00,386.21
219,[U:1:180569264],Vibing,15,10,26,7531,1,1,100.00,256.16
220,[U:1:410063738],Sivik,13,8,15,8172,1,1,100.00,301.92
221,[U:1:166168522],alv,12,4,15,8715,0,1,0.00,406.29
222,[U:1:46126078],Spoon1337,5,5,9,3488,0,1,0.00,334.31
223,[U:1:63949823],eLs,146,71,169,93684,4,12,33.33,419.36
224,[U:1:147767869],moikill231,33,17,40,21739,1,2,50.00,438.14
225,[U:1:409069535],ZestyMace,240,121,473,167932,10,23,43.48,306.05
226,[U:1:467371097],AloneInHell,103,28,145,57152,3,8,37.50,368.72
227,[U:1:298952919],bobben,22,11,22,12831,0,1,0.00,403.91
228,[U:1:71713376],Ignis,10,4,10,4529,0,1,0.00,255.63
229,[U:1:481881588],godseeker,11,4,19,7341,0,1,0.00,336.23
230,[U:1:41551970],Kantemirovets,23,13,17,13150,0,1,0.00,455.02
231,[U:1:84731121],Murpheey,39,18,35,25769,2,2,100.00,485.60
232,[U:1:113688546],Winter Personified,17,11,15,11257,1,1,100.00,436.88
233,[U:1:92778910],Obi-Wan Pierogi,721,313,775,402333,22,46,47.83,392.04
234,[U:1:414709573],kuroi,16,6,12,12339,0,1,0.00,547.99
235,[U:1:101449025],Charon,15,12,12,8870,1,1,100.00,391.61
236,[U:1:250216552],nik,17,6,29,8692,0,1,0.00,322.12
237,[U:1:406623115],Gergosz.,51,27,47,33054,2,3,66.67,480.90
238,[U:1:127196451],tiram,116,57,88,61595,1,6,16.67,469.00
239,[U:1:41748328],Nufi,7,2,10,1978,0,1,0.00,122.48
240,[U:1:281493306],Mikeal Garden,6,5,14,6655,1,1,100.00,354.30
241,[U:1:380355162],Ross,49,25,62,30319,1,4,25.00,391.38
242,[U:1:328592166],Doge,92,28,62,38248,1,3,33.33,477.50
243,[U:1:100750567],Metroid,321,118,273,159333,7,17,41.18,431.27
244,[U:1:98361494],Hampe,43,15,46,24699,2,2,100.00,455.84
