id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
195,[U:1:75646310],BlackFireHealer,14,15,23,6641,0,2,0.00,163.98
196,[U:1:169048576],Kumis,9,9,12,4616,1,1,100.00,261.78
197,[U:1:46126078],Spoon1337,20,16,20,6941,1,1,100.00,243.97
198,[U:1:418437804],mike,16,3,14,4457,0,1,0.00,236.24
199,[U:1:147767869],moikill231,30,22,32,10336,2,3,66.67,144.90
200,[U:1:236710169],Rach,8,6,11,3978,0,1,0.00,159.01
201,[U:1:298952919],bobben,14,5,9,5007,1,1,100.00,275.87
202,[U:1:188828482],M_J_C,14,20,18,7141,1,2,50.00,158.81
203,[U:1:348844906],AasTee,11,10,14,5333,1,1,100.00,184.53
204,[U:1:101654928],simple,13,16,16,5176,0,1,0.00,179.41
205,[U:1:28873726],masuj,116,90,74,37854,3,7,42.86,250.30
206,[U:1:92778910],Obi-Wan Pierogi,15,7,34,8141,1,3,33.33,186.72
207,[U:1:1057941942],Ra1n,5,13,9,3937,0,1,0.00,205.59
208,[U:1:101449025],Charon,27,17,15,7602,1,1,100.00,287.41
209,[U:1:100229218],hu tao,17,19,14,6152,0,1,0.00,303.30
210,[U:1:250216552],nik,22,15,39,9202,1,2,50.00,232.96
211,[U:1:239700174],hax,3,8,10,2469,0,1,0.00,149.79
212,[U:1:406623115],Gergosz.,43,37,45,16573,1,3,33.33,229.33
213,[U:1:67163975],dabeste92,10,13,18,6021,0,1,0.00,239.56
214,[U:1:70120143],bitebo,24,19,45,8572,2,2,100.00,143.26
215,[U:1:202034],mojocfc,3,6,10,1492,0,1,0.00,89.61
216,[U:1:328592166],Doge,15,4,12,5113,1,2,50.00,194.66
217,[U:1:87608600],Manus,51,49,78,21245,3,6,50.00,188.70
218,[U:1:103246966],Kaponei,64,52,76,21559,3,4,75.00,223.37
219,[U:1:116973132],Sodium,11,13,25,5372,0,1,0.00,198.35
220,[U:1:152973308],tikkeh,0,3,8,743,0,1,0.00,83.64
