id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
180,[U:1:66109902],Bob D,291,180,160,100951,5,13,38.46,333.21
181,[U:1:303005969],kasper,13,8,20,5374,0,1,0.00,276.77
182,[U:1:81419312],Fridge :],21,12,31,9200,0,1,0.00,294.56
183,[U:1:143626373],Pendulum,2260,1442,2531,926515,77,138,55.80,307.02
184,[U:1:68711672],gedu,52,24,43,15251,1,2,50.00,281.73
185,[U:1:1160906215],ZOOM,5,4,13,3927,0,1,0.00,257.79
186,[U:1:383062580],Peams,172,69,176,60950,4,10,40.00,286.60
187,[U:1:122379976],Pahan,139,95,91,47113,4,9,44.44,262.98
188,[U:1:201937938],Rawlop,79,42,66,29017,1,4,25.00,336.95
189,[U:1:141731900],proky,23,22,22,11200,0,1,0.00,349.09
190,[U:1:450758345],flower dance,29,35,47,19947,0,2,0.00,340.97
191,[U:1:91333396],Morgan,75,49,109,32647,3,7,42.86,236.03
192,[U:1:174221078],Roquet,8,13,13,4290,1,1,100.00,177.76
193,[U:1:122797277],pijuka,426,256,330,144995,9,22,40.91,284.64
194,[U:1:474473138],s0rce,69,54,109,32442,2,7,28.57,187.76
195,[U:1:208271590],Inna,40,24,40,14614,1,2,50.00,312.26
196,[U:1:44306791],kitten,19,10,14,7424,0,1,0.00,334.41
197,[U:1:169469399],Cloverleaf,7,6,14,4750,1,1,100.00,239.29
198,[U:1:17178323],BeaVerN,13,7,17,3993,0,1,0.00,244.72
199,[U:1:355488822],Wietrzu,38,31,56,16009,0,3,0.00,210.23
200,[U:1:201323649],Alabamo,440,228,354,153579,9,22,40.91,312.03
201,[U:1:153797806],poy,45,25,39,14801,2,4,50.00,299.01
202,[U:1:254583159],vekk,22,9,18,5586,1,2,50.00,235.70
203,[U:1:212593637],Mr.Whale,34,18,48,14062,1,2,50.00,262.02
204,[U:1:191706095],-RAMBO-,133,68,128,48482,3,6,50.00,346.46
205,[U:1:36202949],HbiVnm,110,79,80,42713,3,6,50.00,313.11
206,[U:1:311671222],skrimus,115,63,79,40460,2,5,40.00,356.48
207,[U:1:203000791],Sizzle,15,8,16,6383,0,1,0.00,344.10
208,[U:1:100817208],Raipe,18,13,23,9852,1,2,50.00,243.46
209,[U:1:79318106],Dwapking,3,13,13,4034,0,1,0.00,250.82
210,[U:1:1241493147],mov,6,5,9,2097,0,1,0.00,169.34
211,[U:1:147748549],noah,126,53,73,46704,4,5,80.00,392.14
212,[U:1:405860591],Wellan,10,14,4,3505,1,1,100.00,216.14
